i,name,SMILES,unique_string
0,H(14) + O2(2) <=> OH(15) + O(5),[H]+[O][O]_[OH]+[O],5+17=8+18
1,H2(13) + O(5) <=> H(14) + OH(15),[H][H]+[O]_[H]+[OH],8+16=17+18
2,H2(13) + OH(15) <=> H2O(8) + H(14),[H][H]+[OH]_O+[H],16+18=11+17
3,OH(15) + OH(15) <=> H2O(8) + O(5),[OH]+[OH]_O+[O],18+18=8+11
4,H2(13) <=> H(14) + H(14),[H][H]_[H]+[H],16=17+17
5,Ar + H2(13) <=> Ar + H(14) + H(14),[Ar]+[H][H]_[Ar]+[H]+[H],1+16=1+17+17
6,H2(13) + He <=> H(14) + H(14) + He,[H][H]+[He]_[H]+[H]+[He],2+16=2+17+17
7,O(5) + O(5) <=> O2(2),[O]+[O]_[O][O],8+8=5
8,Ar + O(5) + O(5) <=> Ar + O2(2),[Ar]+[O]+[O]_[Ar]+[O][O],1+8+8=1+5
9,He + O(5) + O(5) <=> He + O2(2),[He]+[O]+[O]_[He]+[O][O],2+8+8=2+5
10,H(14) + O(5) <=> OH(15),[H]+[O]_[OH],8+17=18
11,H2O(8) <=> H(14) + OH(15),O_[H]+[OH],11=17+18
12,H2O(8) + H2O(8) <=> H2O(8) + H(14) + OH(15),O+O_O+[H]+[OH],11+11=11+17+18
13,H(14) + O2(2) <=> HO2(16),[H]+[O][O]_[O]O,5+17=19
14,H(14) + HO2(16) <=> H2(13) + O2(2),[H]+[O]O_[H][H]+[O][O],17+19=5+16
15,H(14) + HO2(16) <=> OH(15) + OH(15),[H]+[O]O_[OH]+[OH],17+19=18+18
16,O(5) + HO2(16) <=> OH(15) + O2(2),[O]+[O]O_[OH]+[O][O],8+19=5+18
17,OH(15) + HO2(16) <=> H2O(8) + O2(2),[OH]+[O]O_O+[O][O],18+19=5+11
18,HO2(16) + HO2(16) <=> H2O2(17) + O2(2),[O]O+[O]O_OO+[O][O],19+19=5+20
19,H2O2(17) <=> OH(15) + OH(15),OO_[OH]+[OH],20=18+18
20,H2O2(17) + H(14) <=> H2O(8) + OH(15),OO+[H]_O+[OH],17+20=11+18
21,H2O2(17) + H(14) <=> H2(13) + HO2(16),OO+[H]_[H][H]+[O]O,17+20=16+19
22,H2O2(17) + O(5) <=> OH(15) + HO2(16),OO+[O]_[OH]+[O]O,8+20=18+19
23,H2O2(17) + OH(15) <=> H2O(8) + HO2(16),OO+[OH]_O+[O]O,18+20=11+19
24,H(14) + HO2(16) <=> H2O(8) + O(5),[H]+[O]O_O+[O],17+19=8+11
25,H(14) + HO2(16) <=> H2O2(17),[H]+[O]O_OO,17+19=20
26,OH(15) + OH(15) <=> H2(13) + O2(2),[OH]+[OH]_[H][H]+[O][O],18+18=5+16
27,H2O(8) + O(5) <=> H2(13) + O2(2),O+[O]_[H][H]+[O][O],8+11=5+16
28,H2O2(17) + O(5) <=> H2O(8) + O2(2),OO+[O]_O+[O][O],8+20=5+11
29,OH(15) + O(5) <=> HO2(16),[OH]+[O]_[O]O,8+18=19
30,C2H4(11) + O(5) <=> CH3(18) + HCO(19),C=C+[O]_[CH3]+[CH]=O,8+14=21+22
31,C2H4(11) + O(5) <=> CH3CO(20) + H(14),C=C+[O]_C[C]=O+[H],8+14=17+23
32,C2H4(11) + O(5) <=> CH2CHO(21) + H(14),C=C+[O]_[CH2]C=O+[H],8+14=17+24
33,C2H4(11) + O(5) <=> C2H3(22) + OH(15),C=C+[O]_[CH]=C+[OH],8+14=18+25
34,C2H4(11) + O(5) <=> CH2O(9) + CH2(23),C=C+[O]_C=O+[CH2],8+14=12+26
35,C2H4(11) + O(5) <=> CH2CO(24) + H2(13),C=C+[O]_C=C=O+[H][H],8+14=16+27
36,C2H4(11) + O(5) <=> CH4(10) + CO(6),C=C+[O]_C+[C-]#[O+],8+14=9+13
37,C2H4(11) + O(5) <=> C2H2(25) + H2O(8),C=C+[O]_C#C+O,8+14=11+28
38,CH2(23) + CH2(23) <=> C2H2(25) + H(14) + H(14),[CH2]+[CH2]_C#C+[H]+[H],26+26=17+17+28
39,C2H2(25) + OH(15) <=> CH2CO(24) + H(14),C#C+[OH]_C=C=O+[H],18+28=17+27
40,C2H3(22) + OH(15) <=> CH3(18) + HCO(19),[CH]=C+[OH]_[CH3]+[CH]=O,18+25=21+22
41,C2H3(22) + OH(15) <=> CH3CO(20) + H(14),[CH]=C+[OH]_C[C]=O+[H],18+25=17+23
42,CH2CHO(21) + H(14) <=> CH3(18) + HCO(19),[CH2]C=O+[H]_[CH3]+[CH]=O,17+24=21+22
43,CH2CHO(21) + H(14) <=> CH3CO(20) + H(14),[CH2]C=O+[H]_C[C]=O+[H],17+24=17+23
44,CH3CO(20) + H(14) <=> CH3(18) + HCO(19),C[C]=O+[H]_[CH3]+[CH]=O,17+23=21+22
45,CH3CO(20) <=> CH2CO(24) + H(14),C[C]=O_C=C=O+[H],23=17+27
46,C2H2(25) + HO2(16) <=> CH2CO(24) + OH(15),C#C+[O]O_C=C=O+[OH],19+28=18+27
47,CH2(23) + C2H3(22) <=> C2H2(25) + CH3(18),[CH2]+[CH]=C_C#C+[CH3],25+26=21+28
48,C2H3(22) + HO2(16) <=> CH2CHO(21) + OH(15),[CH]=C+[O]O_[CH2]C=O+[OH],19+25=18+24
49,C2H3(22) + O2(2) <=> C2H2(25) + HO2(16),[CH]=C+[O][O]_C#C+[O]O,5+25=19+28
50,CH3CO(20) + O2(2) <=> CH2CO(24) + HO2(16),C[C]=O+[O][O]_C=C=O+[O]O,5+23=19+27
51,CH2(23) + O2(2) <=> HCO(19) + OH(15),[CH2]+[O][O]_[CH]=O+[OH],5+26=18+22
52,CH2CHO(21) + O2(2) <=> CH2CO(24) + HO2(16),[CH2]C=O+[O][O]_C=C=O+[O]O,5+24=19+27
53,C2H3(22) + O2(2) <=> CH2CO(24) + OH(15),[CH]=C+[O][O]_C=C=O+[OH],5+25=18+27
54,C2H2(25) + O2(2) <=> HCO(19) + HCO(19),C#C+[O][O]_[CH]=O+[CH]=O,5+28=22+22
55,CH(3) + OH(15) <=> HCO(19) + H(14),[CH]+[OH]_[CH]=O+[H],6+18=17+22
56,CH2(23) + CH(3) <=> C2H2(25) + H(14),[CH2]+[CH]_C#C+[H],6+26=17+28
57,CH3(18) + CH(3) <=> C2H3(22) + H(14),[CH3]+[CH]_[CH]=C+[H],6+21=17+25
58,CH2(23) <=> CH(3) + H(14),[CH2]_[CH]+[H],26=6+17
59,CH(3) + C2H3(22) <=> C2H2(25) + CH2(23),[CH]+[CH]=C_C#C+[CH2],6+25=26+28
60,CH2CHO(21) + CH(3) <=> C2H3(22) + HCO(19),[CH2]C=O+[CH]_[CH]=C+[CH]=O,6+24=22+25
61,C2H3(22) + C2H(4) <=> C2H2(25) + C2H2(25),[CH]=C+[C]#C_C#C+C#C,7+25=28+28
62,CH(3) + O2(2) <=> HCO(19) + O(5),[CH]+[O][O]_[CH]=O+[O],5+6=8+22
63,CH2CO(24) + O(5) <=> HCO(19) + HCO(19),C=C=O+[O]_[CH]=O+[CH]=O,8+27=22+22
64,C2H3(22) + O(5) <=> CH2CO(24) + H(14),[CH]=C+[O]_C=C=O+[H],8+25=17+27
65,C2H3(22) + O2(2) <=> CH2CHO(21) + O(5),[CH]=C+[O][O]_[CH2]C=O+[O],5+25=8+24
66,CH3CO(20) + O(5) <=> CH2CO(24) + OH(15),C[C]=O+[O]_C=C=O+[OH],8+23=18+27
67,C2H2(25) + HO2(16) <=> CH2CHO(21) + O(5),C#C+[O]O_[CH2]C=O+[O],19+28=8+24
68,HCO(19) <=> CO(6) + H(14),[CH]=O_[H]+[C-]#[O+],22=9+17
69,HCO(19) + O(5) <=> CO(6) + OH(15),[CH]=O+[O]_[OH]+[C-]#[O+],8+22=9+18
70,HCO(19) + O2(2) <=> CO(6) + HO2(16),[CH]=O+[O][O]_[O]O+[C-]#[O+],5+22=9+19
71,CH(3) + O(5) <=> CO(6) + H(14),[CH]+[O]_[H]+[C-]#[O+],6+8=9+17
72,CH(3) + O2(2) <=> CO(6) + OH(15),[CH]+[O][O]_[OH]+[C-]#[O+],5+6=9+18
73,CH(3) + O2(2) <=> CO(6) + H(14) + O(5),[CH]+[O][O]_[H]+[O]+[C-]#[O+],5+6=8+9+17
74,CH2(23) + O(5) <=> CO(6) + H(14) + H(14),[CH2]+[O]_[H]+[H]+[C-]#[O+],8+26=9+17+17
75,CH2(23) + O2(2) <=> CO(6) + H(14) + OH(15),[CH2]+[O][O]_[H]+[OH]+[C-]#[O+],5+26=9+17+18
76,C2H(4) + O(5) <=> CO(6) + CH(3),[C]#C+[O]_[CH]+[C-]#[O+],7+8=6+9
77,C2H(4) + O2(2) <=> CO(6) + HCO(19),[C]#C+[O][O]_[CH]=O+[C-]#[O+],5+7=9+22
78,C2H2(25) + O(5) <=> CO(6) + CH2(23),C#C+[O]_[CH2]+[C-]#[O+],8+28=9+26
79,C2H2(25) + OH(15) <=> CO(6) + CH3(18),C#C+[OH]_[CH3]+[C-]#[O+],18+28=9+21
80,CO(6) + CH2(23) <=> CH2CO(24),[CH2]+[C-]#[O+]_C=C=O,9+26=27
81,CH2CO(24) + H(14) <=> CO(6) + CH3(18),C=C=O+[H]_[CH3]+[C-]#[O+],17+27=9+21
82,CH2CO(24) + CH(3) <=> CO(6) + C2H3(22),C=C=O+[CH]_[CH]=C+[C-]#[O+],6+27=9+25
83,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[CH3]+[C-]#[O+],24=9+21
84,CH3CO(20) + OH(15) <=> CO(6) + CH3(18) + OH(15),C[C]=O+[OH]_[CH3]+[OH]+[C-]#[O+],18+23=9+18+21
85,C2H2(25) + HCO(19) <=> CO(6) + C2H3(22),C#C+[CH]=O_[CH]=C+[C-]#[O+],22+28=9+25
86,CH2CO(24) + O(5) <=> CO(6) + HCO(19) + H(14),C=C=O+[O]_[CH]=O+[H]+[C-]#[O+],8+27=9+17+22
87,C2H(4) + OH(15) <=> CO(6) + CH2(23),[C]#C+[OH]_[CH2]+[C-]#[O+],7+18=9+26
88,C2H3(22) + O(5) <=> CO(6) + CH3(18),[CH]=C+[O]_[CH3]+[C-]#[O+],8+25=9+21
89,CH2(23) + HCO(19) <=> CO(6) + CH3(18),[CH2]+[CH]=O_[CH3]+[C-]#[O+],22+26=9+21
90,CH(3) + OH(15) <=> CO(6) + H(14) + H(14),[CH]+[OH]_[H]+[H]+[C-]#[O+],6+18=9+17+17
91,C2H2(25) + O2(2) <=> CO(6) + HCO(19) + H(14),C#C+[O][O]_[CH]=O+[H]+[C-]#[O+],5+28=9+17+22
92,C2H(4) + O2(2) <=> CO(6) + CO(6) + H(14),[C]#C+[O][O]_[H]+[C-]#[O+]+[C-]#[O+],5+7=9+9+17
93,CH3CO(20) + H(14) <=> CO(6) + CH3(18) + H(14),C[C]=O+[H]_[CH3]+[H]+[C-]#[O+],17+23=9+17+21
94,CH2CHO(21) + H(14) <=> CO(6) + CH3(18) + H(14),[CH2]C=O+[H]_[CH3]+[H]+[C-]#[O+],17+24=9+17+21
95,CH2CHO(21) + CH(3) <=> CO(6) + C2H3(22) + H(14),[CH2]C=O+[CH]_[CH]=C+[H]+[C-]#[O+],6+24=9+17+25
96,CO(6) + O(5) <=> CO2(7),[O]+[C-]#[O+]_O=C=O,8+9=10
97,CO(6) + O2(2) <=> CO2(7) + O(5),[O][O]+[C-]#[O+]_O=C=O+[O],5+9=8+10
98,CO(6) + OH(15) <=> CO2(7) + H(14),[OH]+[C-]#[O+]_O=C=O+[H],9+18=10+17
99,CO(6) + HO2(16) <=> CO2(7) + OH(15),[O]O+[C-]#[O+]_O=C=O+[OH],9+19=10+18
100,HCO(19) + O(5) <=> CO2(7) + H(14),[CH]=O+[O]_O=C=O+[H],8+22=10+17
101,CH(3) + O2(2) <=> CO2(7) + H(14),[CH]+[O][O]_O=C=O+[H],5+6=10+17
102,CO2(7) + CH(3) <=> CO(6) + HCO(19),O=C=O+[CH]_[CH]=O+[C-]#[O+],6+10=9+22
103,CH2(23) + O2(2) <=> CO2(7) + H(14) + H(14),[CH2]+[O][O]_O=C=O+[H]+[H],5+26=10+17+17
104,CH2CO(24) + O(5) <=> CO2(7) + CH2(23),C=C=O+[O]_O=C=O+[CH2],8+27=10+26
105,CH2CO(24) + OH(15) <=> CO2(7) + CH3(18),C=C=O+[OH]_O=C=O+[CH3],18+27=10+21
106,CH2CHO(21) + O(5) <=> CO2(7) + CH2(23) + H(14),[CH2]C=O+[O]_O=C=O+[CH2]+[H],8+24=10+17+26
107,CH3CO(20) + O(5) <=> CO2(7) + CH3(18),C[C]=O+[O]_O=C=O+[CH3],8+23=10+21
108,CH3CO(20) + HO2(16) <=> CO2(7) + CH3(18) + OH(15),C[C]=O+[O]O_O=C=O+[CH3]+[OH],19+23=10+18+21
109,HCO(19) + HO2(16) => CO2(7) + H(14) + OH(15),[CH]=O+[O]O_O=C=O+[H]+[OH],19+22=10+17+18
110,C2H3(22) + O2(2) <=> CO2(7) + CH3(18),[CH]=C+[O][O]_O=C=O+[CH3],5+25=10+21
111,CO2(7) + CH(3) <=> CO(6) + CO(6) + H(14),O=C=O+[CH]_[H]+[C-]#[O+]+[C-]#[O+],6+10=9+9+17
112,C2H2(25) + HO2(16) <=> CO2(7) + CH3(18),C#C+[O]O_O=C=O+[CH3],19+28=10+21
113,HCO(19) + OH(15) <=> H2O(8) + CO(6),[CH]=O+[OH]_O+[C-]#[O+],18+22=9+11
114,CH2(23) + OH(15) <=> H2O(8) + CH(3),[CH2]+[OH]_O+[CH],18+26=6+11
115,CH2(23) + O2(2) <=> H2O(8) + CO(6),[CH2]+[O][O]_O+[C-]#[O+],5+26=9+11
116,CH3(18) + OH(15) <=> H2O(8) + CH2(23),[CH3]+[OH]_O+[CH2],18+21=11+26
117,C2H2(25) + OH(15) <=> H2O(8) + C2H(4),C#C+[OH]_O+[C]#C,18+28=7+11
118,C2H3(22) + OH(15) <=> C2H2(25) + H2O(8),[CH]=C+[OH]_C#C+O,18+25=11+28
119,CH2CHO(21) + OH(15) <=> CH2CO(24) + H2O(8),[CH2]C=O+[OH]_C=C=O+O,18+24=11+27
120,CH3CO(20) + OH(15) <=> CH2CO(24) + H2O(8),C[C]=O+[OH]_C=C=O+O,18+23=11+27
121,H2O(8) + H(14) + O2(2) <=> H2O(8) + HO2(16),O+[H]+[O][O]_O+[O]O,5+11+17=11+19
122,H2O(8) + CH(3) <=> CH2O(9) + H(14),O+[CH]_C=O+[H],6+11=12+17
123,CH2(23) + OH(15) <=> CH2O(9) + H(14),[CH2]+[OH]_C=O+[H],18+26=12+17
124,CH2(23) + HO2(16) <=> CH2O(9) + OH(15),[CH2]+[O]O_C=O+[OH],19+26=12+18
125,CH2(23) + O2(2) <=> CH2O(9) + O(5),[CH2]+[O][O]_C=O+[O],5+26=8+12
126,CH2O(9) + O(5) <=> HCO(19) + OH(15),C=O+[O]_[CH]=O+[OH],8+12=18+22
127,CH2O(9) + OH(15) <=> H2O(8) + HCO(19),C=O+[OH]_O+[CH]=O,12+18=11+22
128,CH2O(9) + O2(2) <=> HCO(19) + HO2(16),C=O+[O][O]_[CH]=O+[O]O,5+12=19+22
129,CH2O(9) + HO2(16) <=> H2O2(17) + HCO(19),C=O+[O]O_OO+[CH]=O,12+19=20+22
130,CH2O(9) + CH(3) <=> CH2CO(24) + H(14),C=O+[CH]_C=C=O+[H],6+12=17+27
131,CH2O(9) + CH2(23) <=> CH3(18) + HCO(19),C=O+[CH2]_[CH3]+[CH]=O,12+26=21+22
132,CH2O(9) + C2H(4) <=> C2H2(25) + HCO(19),C=O+[C]#C_C#C+[CH]=O,7+12=22+28
133,CH3(18) + O(5) <=> CH2O(9) + H(14),[CH3]+[O]_C=O+[H],8+21=12+17
134,CH3(18) + O2(2) <=> CH2O(9) + OH(15),[CH3]+[O][O]_C=O+[OH],5+21=12+18
135,CH2CO(24) + O(5) <=> CH2O(9) + CO(6),C=C=O+[O]_C=O+[C-]#[O+],8+27=9+12
136,C2H3(22) + O2(2) <=> CH2O(9) + HCO(19),[CH]=C+[O][O]_C=O+[CH]=O,5+25=12+22
137,CH2CHO(21) + O2(2) <=> CH2O(9) + CO(6) + OH(15),[CH2]C=O+[O][O]_C=O+[OH]+[C-]#[O+],5+24=9+12+18
138,HCO(19) + HCO(19) <=> CH2O(9) + CO(6),[CH]=O+[CH]=O_C=O+[C-]#[O+],22+22=9+12
139,C2H3(22) + O2(2) <=> CH2O(9) + CO(6) + H(14),[CH]=C+[O][O]_C=O+[H]+[C-]#[O+],5+25=9+12+17
140,CO2(7) + CH2(23) <=> CH2O(9) + CO(6),O=C=O+[CH2]_C=O+[C-]#[O+],10+26=9+12
141,CH2O(9) + O(5) <=> CO(6) + H(14) + OH(15),C=O+[O]_[H]+[OH]+[C-]#[O+],8+12=9+17+18
142,CH2O(9) + O2(2) <=> CO(6) + H(14) + HO2(16),C=O+[O][O]_[H]+[O]O+[C-]#[O+],5+12=9+17+19
143,CH2O(9) + OH(15) <=> H2O(8) + CO(6) + H(14),C=O+[OH]_O+[H]+[C-]#[O+],12+18=9+11+17
144,CH2O(9) + HO2(16) <=> H2O2(17) + CO(6) + H(14),C=O+[O]O_OO+[H]+[C-]#[O+],12+19=9+17+20
145,C2H2(25) + HO2(16) <=> CH2O(9) + HCO(19),C#C+[O]O_C=O+[CH]=O,19+28=12+22
146,C2H2(25) + HO2(16) <=> CH2O(9) + CO(6) + H(14),C#C+[O]O_C=O+[H]+[C-]#[O+],19+28=9+12+17
147,CH3CO(20) + O2(2) <=> CH2O(9) + CO(6) + OH(15),C[C]=O+[O][O]_C=O+[OH]+[C-]#[O+],5+23=9+12+18
148,CH2CHO(21) + O(5) <=> CH2O(9) + HCO(19),[CH2]C=O+[O]_C=O+[CH]=O,8+24=12+22
149,CH2CHO(21) + O(5) <=> CH2O(9) + CO(6) + H(14),[CH2]C=O+[O]_C=O+[H]+[C-]#[O+],8+24=9+12+17
150,CH2CHO(21) + HO2(16) <=> CH2O(9) + HCO(19) + OH(15),[CH2]C=O+[O]O_C=O+[CH]=O+[OH],19+24=12+18+22
151,CH3(18) + HO2(16) <=> CH4(10) + O2(2),[CH3]+[O]O_C+[O][O],19+21=5+13
152,CH3(18) + HCO(19) <=> CH4(10) + CO(6),[CH3]+[CH]=O_C+[C-]#[O+],21+22=9+13
153,CH2O(9) + CH3(18) <=> CH4(10) + HCO(19),C=O+[CH3]_C+[CH]=O,12+21=13+22
154,CH4(10) + O(5) <=> CH3(18) + OH(15),C+[O]_[CH3]+[OH],8+13=18+21
155,CH4(10) + OH(15) <=> H2O(8) + CH3(18),C+[OH]_O+[CH3],13+18=11+21
156,CH4(10) + HO2(16) <=> H2O2(17) + CH3(18),C+[O]O_OO+[CH3],13+19=20+21
157,CH4(10) + CH2(23) <=> CH3(18) + CH3(18),C+[CH2]_[CH3]+[CH3],13+26=21+21
158,CH4(10) + C2H(4) <=> C2H2(25) + CH3(18),C+[C]#C_C#C+[CH3],7+13=21+28
159,CH3(18) + C2H3(22) <=> CH4(10) + C2H2(25),[CH3]+[CH]=C_C+C#C,21+25=13+28
160,CH3CO(20) + CH3(18) <=> CH4(10) + CH2CO(24),C[C]=O+[CH3]_C+C=C=O,21+23=13+27
161,CH2O(9) + CH3(18) <=> CH4(10) + CO(6) + H(14),C=O+[CH3]_C+[H]+[C-]#[O+],12+21=9+13+17
162,CH2O(9) + C2H3(22) <=> C2H4(11) + HCO(19),C=O+[CH]=C_C=C+[CH]=O,12+25=14+22
163,CH2(23) + CH3(18) <=> C2H4(11) + H(14),[CH2]+[CH3]_C=C+[H],21+26=14+17
164,CH4(10) + CH(3) <=> C2H4(11) + H(14),C+[CH]_C=C+[H],6+13=14+17
165,C2H4(11) + OH(15) <=> H2O(8) + C2H3(22),C=C+[OH]_O+[CH]=C,14+18=11+25
166,C2H4(11) + OH(15) <=> CH2O(9) + CH3(18),C=C+[OH]_C=O+[CH3],14+18=12+21
167,C2H4(11) + CH3(18) <=> CH4(10) + C2H3(22),C=C+[CH3]_C+[CH]=C,14+21=13+25
168,C2H4(11) + O2(2) <=> C2H3(22) + HO2(16),C=C+[O][O]_[CH]=C+[O]O,5+14=19+25
169,C2H3(22) + C2H3(22) <=> C2H2(25) + C2H4(11),[CH]=C+[CH]=C_C#C+C=C,25+25=14+28
170,C2H4(11) + O(5) <=> CO(6) + CH3(18) + H(14),C=C+[O]_[CH3]+[H]+[C-]#[O+],8+14=9+17+21
171,CH2O(9) + C2H3(22) <=> C2H4(11) + CO(6) + H(14),C=O+[CH]=C_C=C+[H]+[C-]#[O+],12+25=9+14+17
172,C2H3(22) + HCO(19) <=> C2H4(11) + CO(6),[CH]=C+[CH]=O_C=C+[C-]#[O+],22+25=9+14
173,CH2(23) + CH2CHO(21) <=> C2H4(11) + HCO(19),[CH2]+[CH2]C=O_C=C+[CH]=O,24+26=14+22
174,CH2(23) + CH2CHO(21) <=> C2H4(11) + CO(6) + H(14),[CH2]+[CH2]C=O_C=C+[H]+[C-]#[O+],24+26=9+14+17
175,CH3(18) + C2H3(22) <=> C3H6(12),[CH3]+[CH]=C_C=CC,21+25=15
176,C3H6(12) <=> CH3(18) + C2H3(22),C=CC_[CH3]+[CH]=C,15=21+25
177,C3H6(12) + O(5) => CH2CO(24) + CH3(18) + H(14),C=CC+[O]_C=C=O+[CH3]+[H],8+15=17+21+27
178,C3H6(12) + H(14) <=> C2H4(11) + CH3(18),C=CC+[H]_C=C+[CH3],15+17=14+21
179,HCO(19) + H(14) <=> CO(6) + H2(13),[CH]=O+[H]_[H][H]+[C-]#[O+],17+22=9+16
180,CH(3) + H2(13) <=> CH2(23) + H(14),[CH]+[H][H]_[CH2]+[H],6+16=17+26
181,CH(3) + H2(13) <=> CH3(18),[CH]+[H][H]_[CH3],6+16=21
182,CH2(23) + H2(13) <=> CH3(18) + H(14),[CH2]+[H][H]_[CH3]+[H],16+26=17+21
183,CH2(23) + O2(2) <=> CO2(7) + H2(13),[CH2]+[O][O]_O=C=O+[H][H],5+26=10+16
184,CH2O(9) + H(14) <=> HCO(19) + H2(13),C=O+[H]_[CH]=O+[H][H],12+17=16+22
185,CH3(18) + O(5) <=> CO(6) + H(14) + H2(13),[CH3]+[O]_[H]+[H][H]+[C-]#[O+],8+21=9+16+17
186,CH3(18) + OH(15) <=> CH2O(9) + H2(13),[CH3]+[OH]_C=O+[H][H],18+21=12+16
187,CH4(10) + H(14) <=> CH3(18) + H2(13),C+[H]_[CH3]+[H][H],13+17=16+21
188,C2H(4) + H2(13) <=> C2H2(25) + H(14),[C]#C+[H][H]_C#C+[H],7+16=17+28
189,C2H3(22) + H(14) <=> C2H2(25) + H2(13),[CH]=C+[H]_C#C+[H][H],17+25=16+28
190,CH2CHO(21) + H(14) <=> CH2CO(24) + H2(13),[CH2]C=O+[H]_C=C=O+[H][H],17+24=16+27
191,C2H4(11) + H(14) <=> C2H3(22) + H2(13),C=C+[H]_[CH]=C+[H][H],14+17=16+25
192,HCO(19) + HCO(19) => CO(6) + CO(6) + H2(13),[CH]=O+[CH]=O_[H][H]+[C-]#[O+]+[C-]#[O+],22+22=9+9+16
193,CH3CO(20) + H(14) <=> CH2CO(24) + H2(13),C[C]=O+[H]_C=C=O+[H][H],17+23=16+27
194,CH2(23) + O(5) <=> CO(6) + H2(13),[CH2]+[O]_[H][H]+[C-]#[O+],8+26=9+16
195,CH2(23) + CH2(23) <=> C2H2(25) + H2(13),[CH2]+[CH2]_C#C+[H][H],26+26=16+28
196,C2H4(11) <=> C2H2(25) + H2(13),C=C_C#C+[H][H],14=16+28
197,CH2O(9) + H(14) <=> CO(6) + H(14) + H2(13),C=O+[H]_[H]+[H][H]+[C-]#[O+],12+17=9+16+17
198,CH3(18) + HCO(19) <=> CH2CO(24) + H2(13),[CH3]+[CH]=O_C=C=O+[H][H],21+22=16+27
199,CH3(18) + CH3(18) <=> C2H5(33) + H(14),[CH3]+[CH3]_C[CH2]+[H],21+21=17+32
200,C2H5(33) + H(14) <=> C2H4(11) + H2(13),C[CH2]+[H]_C=C+[H][H],17+32=14+16
201,C2H5(33) + O(5) <=> CH2O(9) + CH3(18),C[CH2]+[O]_C=O+[CH3],8+32=12+21
202,C2H5(33) + O(5) <=> C2H4(11) + OH(15),C[CH2]+[O]_C=C+[OH],8+32=14+18
203,C2H5(33) + O2(2) <=> C2H4(11) + HO2(16),C[CH2]+[O][O]_C=C+[O]O,5+32=14+19
204,C2H5(33) + CH3(18) <=> CH4(10) + C2H4(11),C[CH2]+[CH3]_C+C=C,21+32=13+14
205,C2H4(11) + C2H4(11) <=> C2H5(33) + C2H3(22),C=C+C=C_C[CH2]+[CH]=C,14+14=25+32
206,CH2CO(24) + CH3(18) <=> C2H5(33) + CO(6),C=C=O+[CH3]_C[CH2]+[C-]#[O+],21+27=9+32
207,C3H6(12) + O(5) <=> C2H5(33) + HCO(19),C=CC+[O]_C[CH2]+[CH]=O,8+15=22+32
208,butane(1) <=> C2H5(33) + C2H5(33),CCCC_C[CH2]+C[CH2],4=32+32
209,C2H5(33) + OH(15) <=> C2H4(11) + H2O(8),C[CH2]+[OH]_C=C+O,18+32=11+14
210,C2H5(33) + HCO(19) <=> CH2CHO(21) + CH3(18),C[CH2]+[CH]=O_[CH2]C=O+[CH3],22+32=21+24
211,H2O2(17) + C2H3(22) <=> C2H4(11) + HO2(16),OO+[CH]=C_C=C+[O]O,20+25=14+19
212,HCO(19) + HO2(16) <=> H2O2(17) + CO(6),[CH]=O+[O]O_OO+[C-]#[O+],19+22=9+20
213,C2H5(33) + HO2(16) <=> C2H4(11) + H2O2(17),C[CH2]+[O]O_C=C+OO,19+32=14+20
214,CH2(23) + HO2(16) <=> CH3(18) + O2(2),[CH2]+[O]O_[CH3]+[O][O],19+26=5+21
215,C2H5(33) + CH2(23) <=> C2H4(11) + CH3(18),C[CH2]+[CH2]_C=C+[CH3],26+32=14+21
216,CH3CO(20) + C2H3(22) <=> C2H4(11) + CH2CO(24),C[C]=O+[CH]=C_C=C+C=C=O,23+25=14+27
217,CH2CHO(21) + C2H3(22) <=> C2H4(11) + CH2CO(24),[CH2]C=O+[CH]=C_C=C+C=C=O,24+25=14+27
218,C2H2(25) + O2(2) <=> C2H(4) + HO2(16),C#C+[O][O]_[C]#C+[O]O,5+28=7+19
219,C2H5(33) + HCO(19) <=> C2H4(11) + CH2O(9),C[CH2]+[CH]=O_C=C+C=O,22+32=12+14
220,CH3(18) <=> CH2(23) + H(14),[CH3]_[CH2]+[H],21=17+26
221,CO(6) + CH3(18) <=> CH3CO(20),[CH3]+[C-]#[O+]_C[C]=O,9+21=23
222,CH2CHO(21) <=> CH3CO(20),[CH2]C=O_C[C]=O,24=23
223,CH2CHO(21) <=> CH2(23) + HCO(19),[CH2]C=O_[CH2]+[CH]=O,24=22+26
224,CH2CO(24) + H(14) <=> CH2CHO(21),C=C=O+[H]_[CH2]C=O,17+27=24
225,CH2CHO(21) <=> C2H3(22) + O(5),[CH2]C=O_[CH]=C+[O],24=8+25
226,C2H2(25) + H(14) <=> C2H3(22),C#C+[H]_[CH]=C,17+28=25
227,C2H2(25) <=> C2H(4) + H(14),C#C_[C]#C+[H],28=7+17
228,CH2O(9) <=> CO(6) + H2(13),C=O_[H][H]+[C-]#[O+],12=9+16
229,CH2O(9) <=> HCO(19) + H(14),C=O_[CH]=O+[H],12=17+22
230,CH3(18) + H(14) <=> CH4(10),[CH3]+[H]_C,17+21=13
231,C2H4(11) <=> C2H3(22) + H(14),C=C_[CH]=C+[H],14=17+25
232,C2H5(33) <=> CH2(23) + CH3(18),C[CH2]_[CH2]+[CH3],32=21+26
